ROOT: text='Select the address' control_type=Window
[Pane] auto_id='3608984' text='' rect=(L436, T380, R1481, B891)
[Pane] auto_id='2167154' text='' rect=(L436, T380, R1481, B840)
[Pane] auto_id='1052936' text='' rect=(L436, T380, R1481, B840)
[Pane] auto_id='1970480' text='' rect=(L436, T380, R1475, B840)
[Pane] auto_id='4919556' text='' rect=(L436, T380, R1475, B411)
[Pane] auto_id='1708410' text='' rect=(L1260, T380, R1463, B411)
[Text] auto_id='1380782' text='Search:' rect=(L1265, T388, R1303, B403)
[Pane] auto_id='1380620' text='' rect=(L1308, T385, R1458, B406)
[Edit] auto_id='1969344' text='' rect=(L1308, T385, R1458, B406)
[Image] auto_id='512' text='' rect=(L1310, T387, R1326, B404)
[Pane] auto_id='4917880' text='' rect=(L436, T416, R1475, B840)
[Pane] auto_id='1446230' text='' rect=(L436, T840, R1481, B891)
[Pane] auto_id='1380622' text='' rect=(L1269, T840, R1481, B891)
[Button] auto_id='1184068' text='OK' rect=(L1280, T853, R1372, B878)
[Button] auto_id='1642726' text='Cancel' rect=(L1378, T853, R1470, B878)
[TitleBar] auto_id='' text='' rect=(L452, T352, R1481, B380)
[MenuBar] auto_id='MenuBar' text='System' rect=(L436, T357, R458, B379)
[MenuItem] auto_id='' text='System' rect=(L436, T357, R458, B379)
[Button] auto_id='' text='Minimize' rect=(L1342, T350, R1389, B380)
[Button] auto_id='' text='Maximize' rect=(L1389, T350, R1435, B380)
[Button] auto_id='' text='Close' rect=(L1435, T350, R1482, B380)
