ROOT: text='Select a product' control_type=Window
[Pane] auto_id='3674520' text='' rect=(L568, T205, R1352, B716)
[Pane] auto_id='1511766' text='' rect=(L568, T205, R1352, B665)
[Pane] auto_id='1446158' text='' rect=(L568, T205, R1352, B665)
[Pane] auto_id='2232690' text='' rect=(L598, T207, R1350, B663)
[Pane] auto_id='1118472' text='' rect=(L598, T207, R1350, B238)
[Text] auto_id='2036016' text='' rect=(L732, T214, R733, B230)
[Pane] auto_id='4983416' text='' rect=(L1141, T207, R1344, B238)
[Text] auto_id='4985092' text='Search:' rect=(L1146, T215, R1184, B230)
[Pane] auto_id='1773946' text='' rect=(L1189, T212, R1339, B233)
[Edit] auto_id='1446156' text='' rect=(L1189, T212, R1339, B233)
[Image] auto_id='512' text='' rect=(L1191, T214, R1207, B231)
[Pane] auto_id='1708150' text='' rect=(L598, T243, R1350, B663)
[Pane] auto_id='1446318' text='' rect=(L568, T665, R1352, B716)
[Pane] auto_id='1380680' text='' rect=(L1140, T665, R1352, B716)
[Button] auto_id='4852158' text='OK' rect=(L1151, T678, R1243, B703)
[Button] auto_id='1183022' text='Cancel' rect=(L1249, T678, R1341, B703)
[TitleBar] auto_id='' text='' rect=(L584, T177, R1352, B205)
[MenuBar] auto_id='MenuBar' text='System' rect=(L568, T182, R590, B204)
[MenuItem] auto_id='' text='System' rect=(L568, T182, R590, B204)
[Button] auto_id='' text='Minimize' rect=(L1213, T175, R1260, B205)
[Button] auto_id='' text='Maximize' rect=(L1260, T175, R1306, B205)
[Button] auto_id='' text='Close' rect=(L1306, T175, R1353, B205)
